ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
agency	 291.84	  16.60	  11.84	   2.37	   6	   0	   2	 553	-1	 366	-1	
agendas	 216.74	  18.17	  11.66	   1.94	   7	   0	   2	-1	-1	-1	-1	
aggression	 868.62	  88.22	  23.30	   2.59	  10	   0	   1	-1	-1	-1	-1	
aggressor	 293.42	  37.25	  16.93	   2.12	   9	   0	   2	 589	-1	 383	-1	
aggressors	 301.77	  48.22	  19.91	   2.21	  10	   0	   2	-1	-1	-1	-1	
agonies	1065.07	 123.33	  15.17	   2.53	   7	   0	   1	-1	-1	-1	-1	
agony	 669.52	  19.00	   9.62	   2.40	   5	   0	   1	 461	-1	 491	-1	
agreement	 625.35	  52.63	  20.20	   2.53	   9	   0	   1	-1	-1	 367	-1	
agreements	 237.51	  44.56	  18.27	   2.03	  10	   0	   1	-1	-1	-1	-1	
aide	 796.33	  13.67	   7.67	   2.56	   4	   8	  26	 553	-1	 250	-1	
aides	1299.54	  73.75	  10.59	   2.65	   5	   5	  10	-1	-1	-1	-1	
airliner	 747.90	  78.57	  18.12	   2.59	   8	   1	   1	-1	-1	-1	-1	
airliners	 396.33	  76.00	  18.04	   2.26	   9	   0	   1	-1	-1	-1	-1	
aisle	 523.34	  17.50	   8.06	   2.02	   5	   0	  20	 407	-1	 530	-1	
aisles	1072.60	 110.60	  11.85	   2.37	   6	   0	  14	-1	-1	-1	-1	
akimbo	  50.86	   6.80	   4.93	   0.99	   6	   0	   0	-1	-1	-1	-1	
alarmist	 345.90	  62.71	  17.53	   2.50	   8	   0	   0	-1	-1	-1	-1	
alchemist	 223.40	  39.88	  17.29	   2.16	   9	   0	   1	 664	-1	 394	-1	
alchemists	 144.61	  31.00	  17.57	   1.95	  10	   0	   1	-1	-1	-1	-1	
alchemy	 201.46	  14.67	  12.70	   2.12	   7	   0	   0	-1	-1	-1	-1	
alcohol	 226.72	   9.50	  12.30	   2.05	   7	   0	   1	-1	-1	 598	-1	
aldermen	 433.76	  49.43	  15.37	   2.20	   8	   1	   0	-1	-1	-1	-1	
ale	1801.88	   1.50	   4.05	   2.03	   3	   9	  33	-1	-1	 526	-1	
alertness	 257.81	  71.25	  18.24	   2.28	   9	   0	   0	-1	-1	-1	-1	
ales	 843.48	  17.67	   8.10	   2.70	   4	   7	  23	-1	-1	-1	-1	
alibi	 308.58	  17.00	   7.93	   1.98	   5	   0	   1	-1	-1	-1	-1	
alibis	 334.08	  21.00	  10.67	   2.13	   6	   0	   1	-1	-1	-1	-1	
alignment	 522.02	  46.25	  17.00	   2.13	   9	   0	   2	-1	-1	-1	-1	
alignments	 231.17	  41.78	  17.13	   1.90	  10	   0	   1	-1	-1	-1	-1	
allegiance	 324.62	  36.33	  19.93	   2.21	  10	   0	   0	-1	-1	-1	-1	
allergies	 585.42	  96.50	  18.65	   2.33	   9	   0	   1	-1	-1	-1	-1	
allergy	 421.48	  27.83	  13.61	   2.27	   7	   0	   1	-1	-1	-1	-1	
