numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
7568	25507	fork	450	450	316	390	285	8.8235	2.6542	3.7673	2.5011	Noun	449	1	3.946	1	24.67	4	8	1	high	high1	1	10	1	2	11	12	13	14	
18729	63762	sunglasses	201	201	136	185	129	3.9412	2.3054	1.6214	2.1367	Noun	200	1	3.5972	3	65.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
15067	50120	prevention	32	32	31	21	20	0.62745	1.5185	0.36958	1.5051	Noun	32	1	2.8103	3	137.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
15983	53906	renegade	68	68	57	64	54	1.3333	1.8388	0.67954	1.7634	Noun	68	1	3.1307	3	59.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
11130	37512	litany	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	33.2	6	0	1	low	low3	4	40	1	2	41	42	43	44	
8820	29419	happenings	20	20	18	19	17	0.39216	1.3222	0.21459	1.2788	Noun	20	1	2.6141	3	31.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
14413	48099	pilgrimage	58	58	47	57	46	1.1373	1.7709	0.56032	1.6812	Noun	58	1	3.0627	3	15.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
7646	25784	francs	261	261	79	256	77	5.1176	2.4183	0.94182	1.9031	Noun	261	1	3.7101	1	49.4	6	1	1	high	high1	1	10	1	2	11	12	13	14	
12212	40925	miseries	15	15	14	15	14	0.29412	1.2041	0.16691	1.1761	Noun	15	1	2.496	3	150.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
15570	51925	racketeers	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	34.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3124	9990	catalyst	40	40	31	40	31	0.78431	1.6128	0.36958	1.5051	Noun	40	1	2.9046	3	49.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
11467	38576	magnolias	13	13	10	5	4	0.2549	1.1461	0.11922	1.0414	Noun	13	1	2.438	3	42.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
19429	66119	thrift	22	22	20	20	18	0.43137	1.3617	0.23844	1.3222	Noun	22	1	2.6536	1	35.4	6	1	1	low	low1	3	30	1	2	31	32	33	34	
15144	50395	prodigal	57	57	51	50	46	1.1176	1.7634	0.60801	1.716	Noun	57	1	3.0553	3	64	8	0	1	low	low3	4	40	1	2	41	42	43	44	
7323	24760	fleck	7	7	4	3	3	0.13725	0.90309	0.047687	0.69897	Noun	7	1	2.1949	1	31.5	5	2	1	low	low1	3	30	1	2	31	32	33	34	
9699	32442	importer	13	13	11	12	10	0.2549	1.1461	0.13114	1.0792	Noun	13	1	2.438	3	88.14	8	1	1	low	low3	4	40	1	2	41	42	43	44	
2391	7836	brewery	92	92	35	79	32	1.8039	1.9685	0.41726	1.5563	Noun	92	1	3.2603	3	98	7	1	1	low	low3	4	40	1	2	41	42	43	44	
73	266	abundance	45	45	41	45	41	0.88235	1.6628	0.48879	1.6232	Noun	45	1	2.9546	3	40.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
10350	35155	jukeboxes	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	3	47.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
8480	28428	grime	21	21	20	21	20	0.41176	1.3424	0.23844	1.3222	Noun	21	1	2.6343	1	36.25	5	3	1	low	low1	3	30	1	2	31	32	33	34	
2783	9029	calculus	47	47	39	38	32	0.92157	1.6812	0.46495	1.6021	Noun	47	1	2.9731	3	35.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
13393	44695	oppressors	25	25	19	22	18	0.4902	1.415	0.22651	1.301	Noun	23	1	2.7068	3	52.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
14710	48911	polaroid	73	73	55	6	4	1.4314	1.8692	0.6557	1.7482	Noun	72	1	3.1611	3	38.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
3560	11332	chores	214	214	163	208	161	4.1961	2.3324	1.9433	2.2148	Noun	214	1	3.6243	1	115.2	6	6	1	low	low1	3	30	1	2	31	32	33	34	
